category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights,image_links
Men's wear,Accessories,Wallets ,WILD EDGE Men Brown Artificial Leather Money Clip - Regular Size  (10 Card Slots),4.2,₹189,₹999,NAVKIRANENTERPRISES,4.4,,,https://rukminim1.flixcart.com/image/612/612/ki4w0i80-0/wallet-card-wallet/g/p/x/albbrw2-all-type-wallet-wild-edge-original-imafxztuf8qw57mn.jpeg?q=70
Men's wear,Accessories,Wallets ,napa hide Men Tan Genuine Leather RFID  Wallet - Regular Size  (8 Card Slots),3.9,₹359,"₹1,499",Napa_Hide India,4.1,,,https://rukminim1.flixcart.com/image/612/612/k6b2snk0/wallet-card-wallet/r/h/w/protected-100-genuine-high-quality-mens-crunch-leather-wallet-original-imafzsxt57bzzegu.jpeg?q=70
Men's wear,Accessories,Wallets ,WILDHORN Men Casual Brown Genuine Leather Wallet - Mini  (5 Card Slots),4.1,₹299,"₹1,499",ADLinternational,4.8,,,https://rukminim1.flixcart.com/image/612/612/ksqeky80/wallet-card-wallet/r/c/3/new-high-quality-genuine-men-s-leather-wallet-12-1-wh2055-5-original-imag68hpn7dpzvca.jpeg?q=70
Men's wear,Accessories,Wallets ,SAMTROH Men Casual Brown Artificial Leather Money Clip - Mini  (8 Card Slots),4.2,₹249,₹999,samtroh,4.8,,,https://rukminim1.flixcart.com/image/612/612/k6fd47k0pkrrdj/wallet-card-wallet/t/u/c/sam-17-brw-pln-alb-samtroh-original-imafgf56fvf6aybb.jpeg?q=70
Men's wear,Accessories,Wallets ,"WILDHORN Men Casual, Formal Maroon Genuine Leather RFID  Wallet - Mini  (5 Card Slots)",4.1,₹299,"₹1,999",ADLinternational,4.8,,,https://rukminim1.flixcart.com/image/612/612/ksqeky80/wallet-card-wallet/r/c/3/new-high-quality-genuine-men-s-leather-wallet-12-1-wh2055-5-original-imag68hpn7dpzvca.jpeg?q=70
Men's wear,Accessories,Wallets ,SAMTROH Men Casual Brown Artificial Leather Money Clip - Mini  (8 Card Slots),4.2,₹249,₹999,samtroh,4.8,,,https://rukminim1.flixcart.com/image/612/612/k6fd47k0pkrrdj/wallet-card-wallet/t/u/c/sam-17-brw-pln-alb-samtroh-original-imafgf56fvf6aybb.jpeg?q=70
Men's wear,Accessories,Wallets ,URBAN FOREST Men Green Genuine Leather Wallet - Mini  (6 Card Slots),4.4,₹479,"₹2,000",AlphaCollection,4.9,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/k/b/h/oliver-1-10-998-ubf130grn1017-6-wallet-urban-forest-2-489-original-imagk8tzgrz5phh5.jpeg?q=70
Men's wear,Accessories,Wallets ,Hammonds Flycatcher Men Brown Genuine Leather Wallet - Mini  (2 Card Slots),4.3,₹651,"₹1,599",HAMMONDSFLYCATCHER,4.3,,,https://rukminim1.flixcart.com/image/612/612/kn6cxow0/wallet-card-wallet/l/4/q/rfid-protected-brushwood-leather-wallet-for-men-5-card-slots-1-original-imagfwz3gm4gccyq.jpeg?q=70
Men's wear,Accessories,Wallets ,URBAN FOREST Men Blue Genuine Leather Wallet - Mini  (6 Card Slots),4.4,₹479,"₹2,000",AlphaCollection,4.9,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/l/l/w/oliver-1-10-998-ubf130blu1017-6-wallet-urban-forest-2-489-original-imagk8tmnfgpbat2.jpeg?q=70
Men's wear,Accessories,Wallets ,URBAN FOREST Men Black Genuine Leather RFID  Wallet - Mini  (9 Card Slots),4.3,₹479,"₹2,000",AlphaCollection,4.9,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/j/g/p/oliver-1-4-ubf130blk1017-9-wallet-urban-forest-3-1-original-imagk8tpzckfngwk.jpeg?q=70
Men's wear,Accessories,Wallets ,"SAMTROH Men Casual, Trendy Tan Artificial Leather Wallet - Mini  (11 Card Slots)",4.2,₹249,₹999,samtroh,4.8,,,https://rukminim1.flixcart.com/image/612/612/l4d2ljk0/shopsy-wallet-card-wallet/w/d/z/album-wallet-casuel-samtroh-men-original-imagfafghj2jvxt6.jpeg?q=70
Men's wear,Accessories,Wallets ,URBAN FOREST Men Blue Genuine Leather Wallet  (8 Card Slots),4.9,₹479,"₹2,000",AlphaCollection,4.9,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/h/2/q/ghost-1-11-ubf108blu1063-8-wallet-urban-forest-9-original-imagkgtf2ga76h3t.jpeg?q=70
Men's wear,Accessories,Wallets ,METRONAUT Men Casual Beige Artificial Leather Wallet  (7 Card Slots),4.3,₹249,₹999,samtroh,4.8,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/5/7/r/stylish-men-wallet-6-stylish-men-wallet-6-wallet-samtroh-original-imaggtm6yt3hvsk5.jpeg?q=70
Men's wear,Accessories,Wallets ,URBAN FOREST Men Tan Genuine Leather Wallet - Mini  (6 Card Slots),4.3,₹479,"₹2,000",AlphaCollection,4.9,,,https://rukminim1.flixcart.com/image/612/612/xif0q/wallet-card-wallet/h/2/e/oliver-1-10-998-ubf130rew1017-6-wallet-urban-forest-2-489-original-imagk5cnaf95h2w9.jpeg?q=70
Men's wear,Accessories,Wallets ,SAMTROH Men Formal Black Artificial Leather Wallet - Mini  (5 Card Slots),4.2,₹249,₹999,samtroh,4.8,,,https://rukminim1.flixcart.com/image/612/612/korijrk0/wallet-card-wallet/7/b/4/black-contener-casual-wallet-samtroh-original-imag35hrfg3bfp4y.jpeg?q=70
