original_index,image_url,method,augmented_text,category_2,category_3,selling_price
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,description_snippet,PEDIGREE complete and balanced dog food for adult dogs is a wholesome meal packed with essential nutrients vital to the healthy growth of your pet.,Pet Supplies,Dogs ,3442.0
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,price_context,premium PEDIGREE Adult Chicken Vegetable Dry Adult under ₹3442,Pet Supplies,Dogs ,3442.0
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,highlights_fusion,PEDIGREE Adult Chicken Vegetable Dry Chicken Dry Suitable For: Adult Shelf Life: 12 Months,Pet Supplies,Dogs ,3442.0
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,category_prefix,"Pet Supplies > Dogs: PEDIGREE Adult Chicken, Vegetable 20 kg Dry Adult Dog Food",Pet Supplies,Dogs ,3442.0
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,keyword_drop,"Adult Chicken, Vegetable kg Dry Adult Dog Food",Pet Supplies,Dogs ,3442.0
2001,https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,title_clean,"PEDIGREE Adult Chicken, Vegetable 20 kg Dry Adult Dog Food",Pet Supplies,Dogs ,3442.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,description_snippet,Pamper and nourish your dog at the same with this packet of delicious dog food from Pedigree.A Good Source of Omega 6It contains linoleic acid,Pet Supplies,Dogs ,755.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,price_context,mid-range PEDIGREE High Protein Variant Rice Egg under ₹755,Pet Supplies,Dogs ,755.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,highlights_fusion,PEDIGREE High Protein Variant Rice Rice Egg Dry Suitable For: Adult Shelf Life: 12 Months,Pet Supplies,Dogs ,755.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,category_prefix,"Pet Supplies > Dogs: PEDIGREE High Protein Variant Rice, Egg, Chicken 3 kg Dry Adult Dog Food",Pet Supplies,Dogs ,755.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,keyword_drop,"PEDIGREE Variant Rice, Egg, 3 kg Dry Adult Dog Food",Pet Supplies,Dogs ,755.0
2002,https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,title_clean,"PEDIGREE High Protein Variant Rice, Egg, Chicken 3 kg Dry Adult Dog Food",Pet Supplies,Dogs ,755.0
2003,https://rukminim1.flixcart.com/image/612/612/xif0q/pet-food/b/a/i/-original-imagjmgm79hsyzfq.jpeg?q=70,description_snippet,"Loaded with many essential nutrients, minerals, antioxidants and vitamins, the Pedigree Adult Meat and Rice dog food is both wholesome and delectable. It aids in",Pet Supplies,Dogs ,288.0
2003,https://rukminim1.flixcart.com/image/612/612/xif0q/pet-food/b/a/i/-original-imagjmgm79hsyzfq.jpeg?q=70,price_context,affordable PEDIGREE Adult Meat Rice Dry Adult under ₹288,Pet Supplies,Dogs ,288.0
