original_index,image_url,method,augmented_text,category_2,category_3,selling_price
0,https://rukminim1.flixcart.com/image/612/612/kr2e3680/pendrive/type-a-to-type-c/u/u/6/dual-drive-goupto-150mb-s-sandisk-original-imag4xq6t2ayfnhy.jpeg?q=70,description_snippet,SanDisk Dual Drive Go 256 GB OTG Drive,Computer Accessories,Pendrives,2009.0
0,https://rukminim1.flixcart.com/image/612/612/kr2e3680/pendrive/type-a-to-type-c/u/u/6/dual-drive-goupto-150mb-s-sandisk-original-imag4xq6t2ayfnhy.jpeg?q=70,price_context,premium SanDisk Dual Drive 256 OTG Drive under ₹2009,Computer Accessories,Pendrives,2009.0
0,https://rukminim1.flixcart.com/image/612/612/kr2e3680/pendrive/type-a-to-type-c/u/u/6/dual-drive-goupto-150mb-s-sandisk-original-imag4xq6t2ayfnhy.jpeg?q=70,highlights_fusion,SanDisk Dual Drive 256 OTG USB 3.1 256 GB Plastic For Desktop Computer Laptop Mobile Blue,Computer Accessories,Pendrives,2009.0
0,https://rukminim1.flixcart.com/image/612/612/kr2e3680/pendrive/type-a-to-type-c/u/u/6/dual-drive-goupto-150mb-s-sandisk-original-imag4xq6t2ayfnhy.jpeg?q=70,category_prefix,Computer Accessories > Pendrives: SanDisk Dual Drive Go 256 GB OTG Drive,Computer Accessories,Pendrives,2009.0
0,https://rukminim1.flixcart.com/image/612/612/kr2e3680/pendrive/type-a-to-type-c/u/u/6/dual-drive-goupto-150mb-s-sandisk-original-imag4xq6t2ayfnhy.jpeg?q=70,keyword_drop,SanDisk Drive Go 256 GB Drive,Computer Accessories,Pendrives,2009.0
1,https://rukminim1.flixcart.com/image/612/612/kpydrbk0/tripod/tripod/i/l/t/7-feet-200cm-strong-metal-mobile-phone-tripod-camera-stand-original-imag43ysagmmhvuy.jpeg?q=70,description_snippet,"Oxhox 7"" feet 200 cm strong Metal mobile phone tripod/camera stand,beauty ring fill light stand, photography umbrella ,selfie video recording [2.1 meters tripod] with mobile holder clip Tripod",Camera Accessories,Tripods,395.0
1,https://rukminim1.flixcart.com/image/612/612/kpydrbk0/tripod/tripod/i/l/t/7-feet-200cm-strong-metal-mobile-phone-tripod-camera-stand-original-imag43ysagmmhvuy.jpeg?q=70,price_context,affordable Oxhox feet 200 strong Metal mobile under ₹395,Camera Accessories,Tripods,395.0
1,https://rukminim1.flixcart.com/image/612/612/kpydrbk0/tripod/tripod/i/l/t/7-feet-200cm-strong-metal-mobile-phone-tripod-camera-stand-original-imag43ysagmmhvuy.jpeg?q=70,highlights_fusion,Oxhox feet 200 strong Metal DSLR/SLR Camera Mobile Point & Shoot Camera Advanced Point & Shoot Camera Video Camera 3200 g Height Range: 300 mm - 1150 mm Material: Metal,Camera Accessories,Tripods,395.0
1,https://rukminim1.flixcart.com/image/612/612/kpydrbk0/tripod/tripod/i/l/t/7-feet-200cm-strong-metal-mobile-phone-tripod-camera-stand-original-imag43ysagmmhvuy.jpeg?q=70,category_prefix,"Camera Accessories > Tripods: Oxhox 7"" feet 200 cm strong Metal mobile phone tripod/camera stand,beauty ring fill light stand, photography umbrella ,selfie video recording [2.1 meters tripod] with mobile holder clip Tripod",Camera Accessories,Tripods,395.0
1,https://rukminim1.flixcart.com/image/612/612/kpydrbk0/tripod/tripod/i/l/t/7-feet-200cm-strong-metal-mobile-phone-tripod-camera-stand-original-imag43ysagmmhvuy.jpeg?q=70,keyword_drop,"Oxhox 7"" feet 200 cm strong Metal phone tripod/camera ring light stand, ,selfie video meters tripod] mobile clip Tripod",Camera Accessories,Tripods,395.0
2,https://rukminim1.flixcart.com/image/612/612/jvy4vbk0/lens/screw-on-filters/m/4/h/panasonic-h-hsa35100e-original-imafgqu2qgssbmqh.jpeg?q=70,description_snippet,Panasonic H-HSA35100E Lens,Camera Accessories,Lens,73569.0
2,https://rukminim1.flixcart.com/image/612/612/jvy4vbk0/lens/screw-on-filters/m/4/h/panasonic-h-hsa35100e-original-imafgqu2qgssbmqh.jpeg?q=70,price_context,premium Panasonic HSA35100E Lens under ₹73569,Camera Accessories,Lens,73569.0
2,https://rukminim1.flixcart.com/image/612/612/jvy4vbk0/lens/screw-on-filters/m/4/h/panasonic-h-hsa35100e-original-imafgqu2qgssbmqh.jpeg?q=70,highlights_fusion,Panasonic HSA35100E Lens Panasonic Micro Four Thirds Mount Designed For: G85 G85H 35 - 100 mm Lens Type: Telephoto Zoom Lens,Camera Accessories,Lens,73569.0
2,https://rukminim1.flixcart.com/image/612/612/jvy4vbk0/lens/screw-on-filters/m/4/h/panasonic-h-hsa35100e-original-imafgqu2qgssbmqh.jpeg?q=70,category_prefix,Camera Accessories > Lens: Panasonic H-HSA35100E Lens,Camera Accessories,Lens,73569.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,description_snippet,"Presenting you the sensation and stylish look designed with 3d like powerful sound, enjoy music at its glance with this mini dynamite like stylish portable",Speakers,Bluetooth Speakers,549.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,price_context,mid-range LOPAZ 3102 Trolley Wireless Led Disco under ₹549,Speakers,Bluetooth Speakers,549.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,highlights_fusion,LOPAZ 3102 Trolley Wireless Led 10 W Power Source: BATTERY Battery life: 5 hr 2 hr Bluetooth Version: 5.0 Wireless range: 10 m Wireless music streaming via Bluetooth Memory Card Slot,Speakers,Bluetooth Speakers,549.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,category_prefix,Speakers > Bluetooth Speakers: LOPAZ LZ-3102 Trolley Wireless Led Disco Light subwoofer sound system with DJ light 10 W Bluetooth Speaker,Speakers,Bluetooth Speakers,549.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,keyword_drop,Wireless Led Disco Light subwoofer sound system light 10,Speakers,Bluetooth Speakers,549.0
3,https://rukminim1.flixcart.com/image/612/612/xif0q/speaker/mobile-tablet-speaker/p/l/t/lz-3102-trolley-wireless-led-disco-light-subwoofer-sound-system-original-imaghfvfjh9pgsxu.jpeg?q=70,title_clean,LOPAZ LZ-3102 Trolley Wireless Led Disco Light subwoofer sound system with DJ light 10 W Bluetooth Speaker,Speakers,Bluetooth Speakers,549.0
4,https://rukminim1.flixcart.com/image/612/612/jgo0ccw0/lens/8/g/f/sony-sel2470gm-original-imaf4us5w63ent6z.jpeg?q=70,description_snippet,SONY SEL2470GM Lens,Camera Accessories,Lens,145290.0
4,https://rukminim1.flixcart.com/image/612/612/jgo0ccw0/lens/8/g/f/sony-sel2470gm-original-imaf4us5w63ent6z.jpeg?q=70,price_context,premium SONY SEL2470GM Lens under ₹145290,Camera Accessories,Lens,145290.0
