category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights,image_links,h_index
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE Adult Chicken, Vegetable 20 kg Dry Adult Dog Food",4.5,"₹3,442","₹4,050",MYTHANGLORYRetail,4.9,"PEDIGREE complete and balanced dog food for adult dogs is a wholesome meal packed with essential nutrients vital to the healthy growth of your pet. PEDIGREE, with the goodness of cereals, meat, chicken, and the nutrients blend into a tasty and healthy treat for your furry friend.
With PEDIGREE, you are sure to see the 5 Signs of Good Health in your pet upon feeding him 2 bowls (per the given feeding guidelines) a day for just 6 weeks. These signs include proven Healthier and Shinier Coat; Strong Bones and Teeth (from Ca:P ratio & levels); Digestive Health (from Dietary Fibre); Strong Muscles (from Protein); and Improved Natural Defence (from Vitamins (Vit E) and Minerals)
At PEDIGREE recipes are developed based on research from the Waltham Centre for Pet Nutrition. Every product from PEDIGREE surpasses the requirements laid down by NRC 2006 of the U.S. National Academy of Science. Country of Origin - India","For Dog Flavor: Chicken, Vegetable Food Type: Dry Suitable For: Adult Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/v/q/n/-original-imagdnauxgd8jzvp.jpeg?q=70,2001
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE High Protein Variant Rice, Egg, Chicken 3 kg Dry Adult Dog Food",4.5,₹755,₹830,MYTHANGLORYRetail,4.9,"Pamper and nourish your dog at the same with this packet of delicious dog food from Pedigree.A Good Source of Omega 6It contains linoleic acid (Omega 6) and zinc to ensure that your canine friend’s fur is healthy and shiny. It also contains superior-grade digestible animal protein that aids in strengthening your dog’s muscles. Contains FibresThis packet of dog food is rich in fibres that help facilitate bowel movement. Rich in Calcium It contains an optimum amount of calcium, and it has an ideal Ca:P ratio so that your dog has healthy bones and teeth. Additionally, the contents of this packet of dog food are easy to chew. Good for Immunity  The goodness of natural Taurine, vitamin E and other antioxidants strengthen your dog’s immune system. ","For Dog Flavor: Rice, Egg, Chicken Food Type: Dry Suitable For: Adult Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/l3xcr680/pet-food/1/d/r/-original-imagexzusmz2gnr7.jpeg?q=70,2002
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE Adult Meat, Rice 1.2 kg Dry Adult Dog Food",4.5,₹288,₹310,MYTHANGLORYRetail,4.9," 	Loaded with many essential nutrients, minerals, antioxidants and vitamins, the Pedigree Adult Meat and Rice dog food is both wholesome and delectable. It aids in the proper growth of your beloved canine, and keeps him healthy, both inside and outside. This dry dog food works as a balanced diet, and is good for your pet’s teeth, fur, bones, digestive tract, muscles and immunity.","For Dog Flavor: Meat, Rice Food Type: Dry Suitable For: Adult Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/xif0q/pet-food/b/a/i/-original-imagjmgm79hsyzfq.jpeg?q=70,2003
Home and Furniture,Pet Supplies,Dogs ,Active (Buy 1 Get 1 Free) Adult Chicken and Vegetables Vegetable 6 kg (2x3 kg) Dry Adult Dog Food,4.3,₹781,₹789,MYTHANGLORYRetail,4.9,"Active Adult Dry Dog Food is a complete and balanced nutrient-rich food, which enhances the physical performance of your pet. It is enriched with essential ingredients along with vitamins and minerals keeping your pet active and agile. Our each ingredient undergoes a thorough selection process in which quality, safety and nutritional values are checked.",For Dog Flavor: Vegetable Food Type: Dry Suitable For: Adult Shelf Life: 24 Months Pack of: 2,https://rukminim1.flixcart.com/image/612/612/ku79vgw0/pet-food/c/x/e/dog-932152-active-original-imag7dhyz5srt64f.jpeg?q=70,2004
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE Puppy Milk, Chicken 3 kg Dry New Born Dog Food",4.4,₹646,₹760,MYTHANGLORYRetail,4.9," 	With Pedigree for puppies, your little fur ball will be running behind you for more as it provides him/her with a healthy and delicious combination of chicken and milk. With Pedigree for puppies, your little monster will not only get a healthy and shiny coat, but his/her digestive system, teeth, and bones will also get stronger.","For Dog Flavor: Milk, Chicken Food Type: Dry Suitable For: New Born Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/s/j/d/-original-imagdnapja4hgytt.jpeg?q=70,2005
Home and Furniture,Pet Supplies,Dogs ,"YOUHAVEDEAL Toys for Puppies & Small Dogs Toys Spike Squeaky Ball Toy | Rope Ball Toy | Rope 2 Knot Gums Cleaner Rope Toy | Tug of War Dog Toy | Rubber Chew Bone | Toy Handle Ball Rope Toy (Pack of 6) Cotton, Rubber Ball, Bone, Chew Toy, Rubber Toy, Training Aid For Dog",4.3,₹299,₹699,YOUHAVEDEAL,5.0,"Are you looking for a new high-quality rope dog toys suitable for both indoor & outdoor games with dog? Maybe you want to train your puppy to stop chewing on furniture or shoes? Perhaps you just searching for an easy way to keep your pup's little teeth healthier and cleaner? Finally, you've found the best dog chew toys that will meet all your needs and will help to prevent boredom in your dog HERE ARE A FEW REASONS FOR CHOOSING PETS&GOODS TOY SET FOR DOGS- Ideal size for small and medium dogs - cotton rope dog toy will make your dog more active and happier. Perfect choice for teething puppies that like to chew everything around them. Sturdy and safe material - each dog rope toy is made of multi-colored non-toxic, durable cotton rope. Multiple uses - just imagine, you can use dog rope toys for: ? massaging gums and to cleaning pet's teeth during playtime. ? teaching your puppy to play fetch. ? reducing destructive chewing in your home. ? just to enjoy bonding time with your dog.","Activity Type: Chew, Exercise, Training Pack of: 6 Material: Cotton, Rubber Color: Multicolor",https://rukminim1.flixcart.com/image/612/612/kvzkosw0/pet-toy/z/p/w/yhd172online0871474-youhavedeal-original-imag8rhzqfhyh7ah.jpeg?q=70,2006
Home and Furniture,Pet Supplies,Dogs ,"BODY BUILDING Good Quality Dog Belt Combo of Red Black Ghungroo Collar with Red Lead Specially for medium breed Dog Collar & Leash  (Medium, Red Black)",4.1,₹157,₹399,MYTHANGLORYRetail,4.9,,"Type: Collar & Leash Pet Type: Dog Material: Nylon Color: Red, Black Adjustable Collar Type: Everyday Harness Type: Standard",https://rukminim1.flixcart.com/image/612/612/krxtrww0/pet-collar-harness/f/p/w/medium-dog-belt-combo-red-black-ghungroo-dog-collar-with-red-original-imag5m88mggf6qgn.jpeg?q=70,2007
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE Adult Meat, Rice 3 kg Dry Adult Dog Food",4.5,₹638,₹725,MYTHANGLORYRetail,4.9," 	Featuring many nutrients, such as Omega 6, Zinc, Calcium, Phosphorous and dietary fibres essential for your dog’s proper growth, the Pedigree Adult Meat and Rice dog food will keep your pet healthy and happy. It is good for your dog’s fur, bones, teeth, digestive tract and muscles. Not only that, it also boosts your canine’s immunity.","For Dog Flavor: Meat, Rice Food Type: Dry Suitable For: Adult Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/l29c9e80/pet-food/e/p/h/-original-imagdnatmgnbnsrs.jpeg?q=70,2008
Home and Furniture,Pet Supplies,Dogs ,PEDIGREE Gravy Chicken 2.1 kg (30x0.07 kg) Wet Young Dog Food,4.6,"₹1,020","₹1,200",MYTHANGLORYRetail,4.9,,For Dog Flavor: Chicken Food Type: Wet Suitable For: Young Shelf Life: 24 Months Pack of: 30,https://rukminim1.flixcart.com/image/612/612/xif0q/pet-food/9/c/s/-original-imagkgg4bzyyfvgt.jpeg?q=70,2009
Home and Furniture,Pet Supplies,Dogs ,"PEDIGREE Puppy Milk, Chicken 6 kg Dry New Born Dog Food",4.5,"₹1,319","₹1,450",MYTHANGLORYRetail,4.9," 	With Pedigree for puppies, your little fur ball will be running behind you for more as it provides him/her with a healthy and delicious combination of chicken and milk. With Pedigree for puppies, your little monster will not only get a healthy and shiny coat, but his/her digestive system, teeth, and bones will also get stronger.","For Dog Flavor: Milk, Chicken Food Type: Dry Suitable For: New Born Shelf Life: 12 Months",https://rukminim1.flixcart.com/image/612/612/xif0q/pet-food/i/x/i/-original-imagjdugtzjbre5f.jpeg?q=70,2010
